name
Введение в 2Д дизайн. Векторная и растровая графика.
Основы работы с Figma. Интерфейс и основные инструменты.
Виды верстки сайтов. Введение в эффект параллакса.
Свойства и типы цветов. Система цветопередачи. Цветовой круг. Глубина цвета.
Шрифты в дизайне. Виды логотипов и правило их создания.
Основы светотени в графике.
Понятие типографии. Правила для создания правильного дизайна для печати.
Основы работы с Photoshop.
Анимация и анимационные средства. Cоздание анимации в After Effects.
Принципы композиции в графическом дизайне.
Введение в понятие пиксель-арт. Изучение программных инструментов в Piskel и Aseprite.
Изометрическая графика. Реализация 3Д графики посредством 2Д.
Правила создания презентаций: дизайн и структура.
Повторение и закрепление пройденного материала.
