name
Установка git и gcc
Системы счисления
Инструкции и память
Базовый синтаксис инструкций
Базовый синтаксис переменных
Абстрактное решение задач через алгоритмы
Аттестация 1
Представление чисел на несколько байтов и отрицательных чисел
Указатели
Массивы, pointer arithmetic
Структуры
Функции
Объекты и ссылки
Аттестация 2
bool значения
Flow control
Передача массива функции
Строки
Препроцессор, линкер
Аттестация 2;Curs
OOP синтаксис
RAII
Перегрузка операторов
enum
Итераторы
Полиморфизм
