name
Введение в 2Д дизайн. Векторная и растровая графика.
Основы работы с Figma. Интерфейс и основные инструменты.
Виды перспективы игрового фона в 2D графике. Введение в эффект параллакса.
Свойства и типы цветов. Система цветопередачи. Цветовой круг. Глубина цвета.
Основы работы с Inskape и Adobe Illustrator.
Анимация и анимационные средства. Импорт разработанных моделей в Unity. Создание несложных анимаций в Unity.
Введение в понятие пиксель-арт. Изучение программных инструментов в Piskel.
Понятие светотени. Основы работы с Aseprite.
Размеры в пиксель-арте. Правильное проектирование сцены и персонажей. Создание спрайт листа персонажа.
Создание тайлов для 2D игр: основы и практические методы.
Создание проекта в RPG Maker MV.
Создание эффектов в стиле пиксель-арт.
Основы работы с Photoshop.
Cоздание анимации в After Effects.
Правила создания презентаций: дизайн и структура.
Повторение и закрепление пройденного материала.
