name
Введение в 3Д графику.
Моделирование 3Д объектов.
Анимация и риггинг в Blender.
Постановка камеры и света в Blender. Рендер изображений и анимаций.
Модификаторы в Blender.
Материалы в Blender. Текстурирование. UV Map.
Аддоны для Blender.
Физика объектов.
Топология и ретопология 3Д моделей.
Скульптинг в Blender.
Частицы в Blender.
Ассеты. Композитинг.
Оптимизация моделей и материалов. Импорт моделей из Blender в Unity.
